,rating,num_beds,num_bath,property_type,price,neighbourhood,latitude,longitude,room_type,number_of_reviews,reviews_per_month,price_range
4158,4.95,1.0,1.0,Guest,83,Portage Park,41.9442,-87.77329,Entire home/apt,66,3.18,<$100
4159,4.8,1.0,1.0,Rental,134,Hyde Park,41.80158,-87.59072,Entire home/apt,90,3.96,$100 - $300
4160,4.84,1.0,1.0,Rental,100,Loop,41.8811213,-87.63199550000002,Entire home/apt,0,1.59,$100 - $300
4161,4.67,1.0,1.0,Rental,128,Loop,41.8811213,-87.63199550000002,Entire home/apt,3,0.15,$100 - $300
4162,4.84,1.0,1.0,Rental,142,Logan Square,41.92411,-87.69783,Entire home/apt,2,0.1,$100 - $300
4163,4.88,1.0,1.0,Rental,159,Lincoln Park,41.915676,-87.635582,Entire home/apt,106,4.54,$100 - $300
4164,4.54,2.0,2.0,Rental,166,West Town,41.89668,-87.6964,Entire home/apt,26,1.21,$100 - $300
4165,4.53,1.0,2.0,Rental,37,East Garfield Park,41.86955,-87.69585,Private room,15,0.76,<$100
4166,4.97,3.0,2.0,Rental,410,Near South Side,41.85508,-87.62398,Entire home/apt,90,3.88,>$300
4167,4.84,1.0,1.0,Condo,243,Loop,41.86899,-87.62616,Entire home/apt,0,1.59,$100 - $300
4168,4.84,1.0,1.0,Rental,104,Logan Square,41.92411,-87.69783,Entire home/apt,1,0.07,$100 - $300
4169,4.29,3.0,1.0,Rental,133,Kenwood,41.813122,-87.594376,Entire home/apt,7,1.91,$100 - $300
4170,4.84,1.0,1.0,Rental,257,Loop,41.87817,-87.63353,Entire home/apt,0,1.59,$100 - $300
4171,4.76,1.0,1.0,Rental,104,Uptown,41.96976,-87.67312,Entire home/apt,121,5.16,$100 - $300
4172,5.0,3.0,5.0,Condo,296,Lower West Side,41.85812,-87.64861,Entire home/apt,5,0.37,$100 - $300
4173,4.94,1.0,1.0,Rental,86,Rogers Park,42.015,-87.66282,Private room,49,2.17,<$100
4174,4.9,3.0,1.0,Rental,186,Roseland,41.693,-87.61781,Entire home/apt,40,1.8,$100 - $300
4175,4.84,1.0,1.0,Rental,123,Near South Side,41.8634989,-87.62704269999999,Entire home/apt,0,1.59,$100 - $300
4176,4.84,1.0,1.0,Rental,110,Logan Square,41.92411,-87.69783,Entire home/apt,1,0.05,$100 - $300
4177,4.98,2.0,1.0,Guest,107,Irving Park,41.95075,-87.72841,Entire home/apt,111,5.33,$100 - $300
4178,4.98,2.0,5.0,Rental,149,Dunning,41.941235,-87.815765,Entire home/apt,51,2.26,$100 - $300
4179,4.93,5.0,5.0,Home,678,Lake View,41.94462,-87.65951,Entire home/apt,43,2.0,>$300
4180,4.48,2.0,1.0,Guest,140,Lake View,41.95294,-87.66345,Entire home/apt,64,2.86,$100 - $300
4181,4.47,1.0,2.0,Rental,37,East Garfield Park,41.8712,-87.69663,Private room,15,0.69,<$100
4182,4.84,1.0,1.0,Rental,143,Loop,41.8811213,-87.63199550000002,Entire home/apt,1,0.05,$100 - $300
4183,4.84,1.0,1.0,Rental,104,Logan Square,41.92411,-87.69783,Entire home/apt,1,0.4,$100 - $300
4184,4.94,7.0,3.0,Condo,721,Lincoln Park,41.92887,-87.65309,Entire home/apt,62,2.76,>$300
4185,4.98,1.0,1.0,Rental,209,West Town,41.90888,-87.67536,Entire home/apt,82,3.72,$100 - $300
4186,4.84,1.0,1.0,Rental,117,Logan Square,41.92411,-87.69783,Entire home/apt,0,1.59,$100 - $300
4187,4.84,2.0,2.0,Rental,149,Logan Square,41.92411,-87.69783,Entire home/apt,0,1.59,$100 - $300
4188,4.9,1.0,1.0,Rental,121,Edgewater,41.98611,-87.66366,Entire home/apt,60,3.65,$100 - $300
4189,4.8,1.0,1.0,Rental,64,Lincoln Park,41.9256706237793,-87.66986083984375,Entire home/apt,112,4.92,<$100
4190,4.72,4.0,1.0,Condo,138,Woodlawn,41.77905,-87.61224,Entire home/apt,54,2.56,$100 - $300
